strain,temperature_C,medium,NaCl_pct,PCS_type,PCS_conc_pct,mu_max,lag_h,ymax,r2,se,experiment,species,growth,sqrt_mu_max
A_piscicola,8,TSB,0.0,,0.0,0.044,4.91,9.06,1.0,0.051,Temperature,A. piscicola,Y,0.20976176963403032
A_piscicola,15,TSB,0.0,,0.0,0.103,5.34,9.11,0.98,0.107,Temperature,A. piscicola,Y,0.3209361307176242
A_salmonicida_SU2,4,SJ,0.0,,0.0,0.014,16.06,8.83,0.98,0.122,Temperature,A. salmonicida SU2,Y,0.11832159566199232
A_salmonicida_SU2,8,SJ,0.0,,0.0,0.024,3.3,9.05,0.99,0.082,Temperature,A. salmonicida SU2,Y,0.15491933384829668
A_salmonicida_SU2,15,SJ,0.0,,0.0,0.043,0.0,8.96,0.97,0.133,Temperature,A. salmonicida SU2,NL,0.2073644135332772
A_salmonicida_SU2,4,TSB,0.0,,0.0,0.024,3.59,9.0,1.0,0.044,Temperature,A. salmonicida SU2,Y,0.15491933384829668
A_salmonicida_SU2,8,TSB,0.0,,0.0,0.046,3.65,9.07,0.99,0.066,Temperature,A. salmonicida SU2,Y,0.21447610589527216
A_salmonicida_SU2,15,TSB,0.0,,0.0,0.096,3.76,9.13,0.97,0.135,Temperature,A. salmonicida SU2,Y,0.30983866769659335
A_salmonicida_Nr21,4,SJ,0.0,,0.0,0.016,4.07,9.1,0.98,0.107,Temperature,A. salmonicida Nr.21,Y,0.12649110640673517
A_salmonicida_Nr21,8,SJ,0.0,,0.0,0.026,6.18,9.08,1.0,0.054,Temperature,A. salmonicida Nr.21,Y,0.161245154965971
A_salmonicida_Nr21,15,SJ,0.0,,0.0,0.053,0.0,8.98,0.98,0.127,Temperature,A. salmonicida Nr.21,NL,0.23021728866442676
A_salmonicida_Nr21,4,TSB,0.0,,0.0,0.021,0.0,8.93,0.99,0.059,Temperature,A. salmonicida Nr.21,NL,0.14491376746189438
A_salmonicida_Nr21,8,TSB,0.0,,0.0,0.038,2.8,9.02,0.99,0.064,Temperature,A. salmonicida Nr.21,Y,0.19493588689617927
A_salmonicida_Nr21,15,TSB,0.0,,0.0,0.088,2.52,9.03,0.99,0.082,Temperature,A. salmonicida Nr.21,Y,0.2966479394838265
A_hydrophila,8,SJ,0.0,,0.0,0.028,22.64,8.79,0.99,0.052,Temperature,A. hydrophila,Y,0.1673320053068151
A_hydrophila,15,SJ,0.0,,0.0,0.058,0.8,8.95,0.99,0.084,Temperature,A. hydrophila,Y,0.24083189157584592
A_hydrophila,8,TSB,0.0,,0.0,0.038,13.62,8.8,0.99,0.03,Temperature,A. hydrophila,Y,0.19493588689617927
A_hydrophila,15,TSB,0.0,,0.0,0.096,3.11,9.07,0.98,0.11,Temperature,A. hydrophila,Y,0.30983866769659335
A_dhakensis,8,SJ,0.0,,0.0,0.02,10.74,8.76,0.98,0.093,Temperature,A. dhakensis,Y,0.1414213562373095
A_dhakensis,15,SJ,0.0,,0.0,0.08,0.62,8.98,0.99,0.106,Temperature,A. dhakensis,Y,0.282842712474619
